I[A], alpha[o]
0.12, 2.5
0.21, 5
0.52, 10
0.86, 15
1.13, 20
1.89, 30
2.51, 37
2.23, 34
1.68, 27.5
1.32, 22.5
0.99, 17.5
0.65, 12.5
